Title:  H2O_5

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 1040.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 1030.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 1020.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 1010.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 1000.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 990.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 980.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 970.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 960.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 950.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 940.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 930.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 920.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 910.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 900.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 890.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 880.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 870.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 860.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
1250.00 850.00 100.020001 57.7285 0.819836 15.8568 3.0094 3.30934 2.9994 5.77884 3.09938 2.20956 0.189962 4.999
